winner,t1 odds,t2 odds,team1_previous_score,team2_previous_score,team1_hth,team2_hth,team1_R_average,team1_R_std,team1_ACS_average,team1_ACS_std,team1_K:D_average,team1_K:D_std,team1_KAST_average,team1_KAST_std,team1_ADR_average,team1_ADR_std,team1_KPR_average,team1_KPR_std,team1_APR_average,team1_APR_std,team1_FKPR_average,team1_FKPR_std,team1_FDPR_average,team1_FDPR_std,team1_HS%_average,team1_HS%_std,team1_CL%_average,team1_CL%_std,team1_CLSPR_average,team1_CLSPR_std,team1_CLAPR_average,team1_CLAPR_std,team1_DPR_average,team1_DPR_std,team2_R_average,team2_R_std,team2_ACS_average,team2_ACS_std,team2_K:D_average,team2_K:D_std,team2_KAST_average,team2_KAST_std,team2_ADR_average,team2_ADR_std,team2_KPR_average,team2_KPR_std,team2_APR_average,team2_APR_std,team2_FKPR_average,team2_FKPR_std,team2_FDPR_average,team2_FDPR_std,team2_HS%_average,team2_HS%_std,team2_CL%_average,team2_CL%_std,team2_CLSPR_average,team2_CLSPR_std,team2_CLAPR_average,team2_CLAPR_std,team2_DPR_average,team2_DPR_std,odds_diff,previous_score_diff,hth_diff
1,1.85,1.85,4,5,0.0,0.0,0.986,0.1059716943339116,201.6,50.33130238728181,0.95,0.22759613353482086,70.6,3.507135583350036,134.12,29.162167271998143,0.702,0.19841874911408952,0.348,0.0985900603509299,0.09400000000000001,0.10212737145349429,0.10800000000000001,0.040865633483405106,22.4,4.159326868617084,19.4,14.484474446799926,0.025,0.017815241017174032,0.125,0.05846339666834283,0.73125,0.05568290525376707,1.1039999999999999,0.25451915448547285,216.5,55.22454164590232,1.154,0.35104130811059825,73.4,6.024948132556827,147.88,37.02252017353762,0.774,0.20489021450523207,0.274,0.10644247272588138,0.078,0.043243496620879306,0.12000000000000002,0.0479583152331272,32.0,10.222524150130436,20.8,32.797865784224435,0.022727272727272728,0.03214121732666125,0.10454545454545454,0.0763988014271437,0.6772727272727272,0.040655781409087106,0.0,-1,0.0
2,2.4,1.5,4,5,0.0,0.0,1.08,0.0380788655293195,204.85999999999999,34.02194879779817,1.0539999999999998,0.11696153213770756,72.4,4.159326868617084,138.44,20.76759494982508,0.728,0.11713240371477057,0.316,0.053665631459994964,0.122,0.05310367218940702,0.074,0.0409878030638384,28.6,5.176871642217914,20.4,23.415806627148253,0.02153846153846154,0.02574338543181771,0.11692307692307695,0.06931618662196191,0.6861538461538461,0.060177252971101367,1.002,0.23868389137099302,192.82,53.69238307246196,0.962,0.3229860678109816,65.2,4.604345773288535,127.34,34.052797241930065,0.6739999999999999,0.19982492337043448,0.26,0.0854400374531753,0.10600000000000001,0.041593268686170845,0.09,0.01414213562373095,25.8,3.5637059362410923,11.8,13.809417076763234,0.019047619047619046,0.02608202654786505,0.11111111111111112,0.06827242275430656,0.711111111111111,0.05875160483594206,0.8999999999999999,-1,0.0
2,5.0,1.13,3,3,0.0,0.0,0.9019999999999999,0.17195929750961414,197.0,37.568271187266525,0.8859999999999999,0.2485558287387363,69.0,4.949747468305833,133.62,24.429224302052656,0.6759999999999999,0.1582087228947886,0.248,0.15303594349041014,0.122,0.06942621983083913,0.076,0.05412947441089743,31.0,7.3824115301167,11.2,12.02913130695646,0.01818181818181818,0.019015000603047172,0.13636363636363635,0.05330017908890261,0.7727272727272728,0.06224119971649614,0.998,0.22264321233758733,198.38000000000002,32.884449212355676,1.078,0.3170488921286432,72.6,8.905054744357274,135.0,24.689268923967752,0.71,0.14195069566578392,0.274,0.12739701723352867,0.092,0.044384682042344296,0.11000000000000001,0.06670832032063168,27.8,8.34865258589672,3.4,7.602631123499285,0.0031746031746031746,0.007098628499999333,0.10476190476190475,0.05896563689208479,0.6761904761904762,0.0798398497775193,3.87,0,0.0
2,1.88,1.82,3,2,0.0,0.0,1.04,0.18069310999592653,205.37999999999997,48.81123846001042,1.034,0.2548136574047788,76.8,3.0331501776206204,129.76,33.379829238628524,0.726,0.18822858443923976,0.376,0.10089598604503551,0.10600000000000001,0.041593268686170845,0.094,0.033615472627943226,26.4,7.797435475847171,10.6,11.991663771137013,0.0125,0.01307281291459493,0.109375,0.06720566614877052,0.7,0.020372507516258277,0.9239999999999998,0.1458766602304837,196.37999999999997,32.36490383115636,0.9440000000000002,0.19462785001124583,68.6,2.1908902300206643,126.92,15.981770865583075,0.682,0.11713240371477059,0.264,0.09710818709048172,0.076,0.033615472627943226,0.12600000000000003,0.044497190922573975,30.6,7.368853370776216,19.4,14.258330898110058,0.024615384615384615,0.017541160386140585,0.12923076923076923,0.031902217466658035,0.7292307692307693,0.04296689244236599,0.05999999999999983,1,0.0
1,1.68,2.05,3,4,4.966666666666667,5.666666666666668,1.076,0.18756332264064848,207.23999999999995,19.638431709278613,1.168,0.257526697645118,74.0,9.16515138991168,137.76000000000002,18.69446442132002,0.744,0.08384509526501836,0.3,0.1324764129949177,0.09600000000000002,0.04560701700396552,0.10800000000000001,0.06340346993658942,26.4,7.503332592921629,6.2,8.555699854482976,0.00380952380952381,0.005216405309573012,0.09333333333333334,0.04587274125254208,0.6495238095238095,0.08367955290090971,0.992,0.09884331034521249,199.1,47.8355516326508,0.974,0.1527416118809802,72.8,3.7682887362833544,134.52,25.891156791460674,0.7060000000000001,0.14791889669680477,0.298,0.054497706373754846,0.10600000000000001,0.05366563145999496,0.092,0.04604345773288536,28.4,2.8809720581775866,19.4,16.272676485446393,0.017886178861788622,0.012058859328610835,0.12357723577235773,0.06763133119702576,0.7203252032520325,0.03571688233575416,-0.3699999999999999,-1,-0.7000000000000011
2,1.85,1.85,4,3,0.0,0.0,0.9919999999999998,0.18376615575235827,189.51999999999998,41.745742297867935,0.9559999999999998,0.2619732810803423,69.4,7.503332592921628,126.61999999999998,29.402414866809835,0.6599999999999999,0.1541103500742244,0.26399999999999996,0.08142481194328913,0.09,0.04636809247747852,0.10800000000000001,0.05805170109479997,27.0,3.391164991562634,16.0,18.261982367749674,0.01797752808988764,0.017040169537194495,0.11235955056179776,0.08445672122681411,0.6966292134831461,0.03726544708264494,0.9760000000000002,0.11928956366757326,198.14000000000001,31.233283528953525,0.986,0.1566205605915136,70.0,3.082207001484488,127.58,14.863949676986932,0.6940000000000001,0.09044335243676009,0.29800000000000004,0.10329569206893384,0.088,0.051185935568278905,0.11200000000000002,0.04024922359499621,29.4,5.770615218501403,18.6,12.700393694685216,0.02137404580152672,0.013655376961830777,0.11755725190839694,0.02783905729589384,0.7068702290076336,0.04630763629955144,0.0,1,0.0
1,1.85,1.85,5,3,22.33333333333333,14.0,1.04,0.142828568570857,202.42000000000002,44.5615529352378,1.0219999999999998,0.2343501653509124,70.0,3.7416573867739413,132.5,29.278234236374296,0.7140000000000001,0.17615334229017626,0.248,0.1200833044182246,0.11000000000000001,0.04301162633521313,0.09,0.023452078799117145,27.8,4.658325879540846,18.6,9.09945053286186,0.019834710743801654,0.018106530826617062,0.10743801652892562,0.06294027360218106,0.6975206611570248,0.03946226904566388,0.976,0.09864076236526158,196.87999999999997,25.93852347378315,0.9820000000000002,0.12814054783713077,69.4,2.1908902300206643,128.18,12.973896870254517,0.686,0.08018728078691784,0.288,0.09884331034521254,0.092,0.054037024344425186,0.11200000000000002,0.04604345773288535,29.2,5.540758070878027,17.4,11.371015785759864,0.018090452261306532,0.011009498643319921,0.11457286432160804,0.026685262406737194,0.7035175879396984,0.044805413316902055,0.0,2,8.333333333333329
1,1.78,1.92,4,3,11.4,22.633333333333333,1.048,0.11410521460476727,202.95999999999998,47.76052763527638,1.0719999999999998,0.23889328161335976,74.4,2.6076809620810595,132.33999999999997,27.496236106056408,0.7060000000000001,0.1924318061028374,0.366,0.15355780670483674,0.096,0.08018728078691782,0.10400000000000001,0.04277849927241488,21.2,2.588435821108957,14.8,10.425929215182693,0.01651376146788991,0.011961839275601191,0.10642201834862386,0.049234524275224734,0.655045871559633,0.05214044858122137,1.154,0.12441864811996634,212.3,19.258115172570758,1.268,0.18992103622295245,76.2,7.661592523751182,142.06,13.806266693063696,0.772,0.05630275304103698,0.29600000000000004,0.12095453691366852,0.10200000000000001,0.05019960159204453,0.096,0.055946402922797456,27.0,7.176350047203662,15.4,10.454664030948102,0.011764705882352941,0.006576670522058206,0.08823529411764705,0.0409394438443384,0.6176470588235294,0.08637750091522596,-0.1399999999999999,1,-11.233333333333333
1,2.1,1.65,5,5,0.0,0.0,1.05,0.11916375287812991,205.42,35.88198712446122,1.066,0.17868967513541456,72.4,3.507135583350036,136.06,23.871698724640435,0.7340000000000001,0.13315404612703285,0.27199999999999996,0.10473776778220929,0.11200000000000002,0.046043457732885346,0.084,0.023021728866442676,26.6,4.61519230368573,19.8,10.940749517286282,0.01951219512195122,0.011728892720531306,0.10487804878048781,0.04942410763209621,0.6890243902439025,0.04290014414472648,1.03,0.10049875621120895,202.97999999999996,35.385335945840616,1.0139999999999998,0.17572706109191039,72.6,2.8809720581775866,131.74,21.237419805616685,0.696,0.1359411637437314,0.356,0.13202272531651513,0.094,0.07300684899377592,0.10400000000000001,0.050299105359837164,21.8,3.03315017762062,22.4,2.9664793948382653,0.02584269662921348,0.017132528856153826,0.11348314606741572,0.0642270228630463,0.6853932584269663,0.04977540771536331,0.4500000000000002,0,0.0
1,2.7,1.42,2,2,4.8,0.0,0.966,0.10454664030948105,196.06,25.71425674601543,0.954,0.1242175510948433,69.2,1.3038404810405297,128.61999999999998,14.557369267831325,0.6819999999999999,0.08105553651663776,0.294,0.07569676347110225,0.08800000000000001,0.05069516742254631,0.11400000000000002,0.04979959839195493,29.8,4.868264577855234,14.8,9.257429448826494,0.01652892561983471,0.010121858441252803,0.11735537190082646,0.03182086497219579,0.7181818181818181,0.04094872443582646,1.116,0.0867755725996665,210.07999999999998,17.74576005698262,1.2,0.12922847983320088,75.0,5.0,141.26,10.541015131380844,0.76,0.052440442408507586,0.3,0.09407443861113389,0.10400000000000001,0.05412947441089743,0.096,0.04277849927241487,26.8,5.540758070878027,11.2,6.833739825307955,0.009756097560975608,0.006898602743283391,0.09463414634146342,0.047993654151215,0.6380487804878049,0.08121621614933622,1.2800000000000002,0,4.8
